site_id,name,address,district,state,latitude,longitude,gis_accuracy
S374,Stone Bridge,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S375,Barrack on Sariya Vakhariya,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S376,Malik Sandal Ni Vav,Mandvi village (Halol),Panchmahals,Gujarat,22.4938,73.5092,exact
S377,Sindh Mata Ni Vav,Halol Nagar,Panchmahals,Gujarat,22.4972,73.4931,exact
S378,Chandralekha (Surajkala) Vav,Halol Nagar,Panchmahals,Gujarat,22.5039,73.4617,exact
S379,Amther Mata Temple & Small Temples,Vadnagar,Mahesana,Gujarat,23.7847,72.6453,exact
S380,Vav,Modhera,Mahesana,Gujarat,23.5839,72.1317,exact
S381,Hawa Mahal,Modhera,Patan,Gujarat,23.5836,72.1353,exact
S382,Khan Sarovar,Patan,Patan,Gujarat,23.8353,72.1133,exact
S383,Shakti Kund,Akhaj,Mahesana,Gujarat,23.4833,72.4597,exact
S384,Amba Mata Temple,Kherva,Mahesana,Gujarat,23.5469,72.4411,exact
S385,Shitala Mata Temple,Butapaldi,Mahesana,Gujarat,23.6694,72.3539,exact
S386,Nagfani Mata Mandir (with idol),Meu,Mahesana,Gujarat,23.50106,72.513258,"approximate (area: Meu, Mahesana)"
S387,Shitala Mata Temple,Linch,Mahesana,Gujarat,23.499653,72.37963,"approximate (area: Linch, Mahesana)"
S388,Vav,Mansa,Gandhinagar,Gujarat,23.4233,72.6583,exact
S389,Fatipal Gates,Patan,Patan,Gujarat,23.8567,72.1133,exact
S390,Chhindia Gates,Patan,Patan,Gujarat,23.8558,72.1206,exact
S391,Bagwada Gates,Patan,Patan,Gujarat,23.8536,72.1164,exact
S392,Agara Gates,Patan,Patan,Gujarat,23.8508,72.1164,exact
S393,Tripolia Gate (Tran Darwaja),Patan,Patan,Gujarat,23.8472,72.1122,exact
S394,Rajgadhi Timbo,Umta,Mahesana,Gujarat,23.7808,72.5381,exact
S395,Shail Gufo (Khambhalida Caves),Khambhalida,Rajkot,Gujarat,21.7758,70.7061,exact
S396,Minadevi Vav,Virpur,Rajkot,Gujarat,21.8481,70.6964,exact
S397,Memorial Stone of Lakha Fulani,Atkot,Rajkot,Gujarat,22.010354,71.148572,"approximate (area: Atkot, Rajkot)"
S398,Stone Inscription in Darbargadh,Jasdan,Rajkot,Gujarat,22.0399,71.2046,"approximate (area: Jasdan, Rajkot)"
S399,Caves,Dingthala Dungar (Jasdan),Rajkot,Gujarat,21.35541,72.032272,approximate (name matched in Gujarat)
S400,Vav (Gelmata Vav),Bhadla,Rajkot,Gujarat,22.1861,71.1019,exact
S401,Sankleshwar Mahadev,Juni Sankali,Rajkot,Gujarat,21.6936,70.5506,exact
S402,Old Darbargadh,Dhoraji,Rajkot,Gujarat,21.7392,70.4494,exact
S403,Temples,Supedi,Rajkot,Gujarat,21.7644,70.3744,exact
S404,Kuber Vav,Morbi,Morbi,Gujarat,22.8181,70.8358,exact
S405,Darbargadh No Tamrapatro,Morbi,Morbi,Gujarat,22.8178,70.8403,exact
S406,Mound Dolidhar,Khorana,Rajkot,Gujarat,22.4275,70.8492,exact
S407,Stone Inscription at Jadeshwar Mahadev,Wankaner,Morbi,Gujarat,22.6456,70.8544,exact
S408,Ancient Vav,Sarvad,Morbi,Gujarat,22.9822,70.7019,exact
S409,Jam Tower,Rajkot,Rajkot,Gujarat,22.3064,70.7972,exact
S410,Ancient Talav,Tentalav,Vadodara,Gujarat,22.0461,73.4239,exact
S411,Vidyadhar Vav,Sevasi,Vadodara,Gujarat,22.3183,73.1167,exact
S412,Surya Narayan Temple,Vadodara,Vadodara,Gujarat,22.3033,73.1883,exact
S413,Ranmukteshwar Temple,Mankani (Sankheda),Chhota Udaipur,Gujarat,22.2258,73.6725,exact
S414,Kund,Gambhirpura,Sabarkantha,Gujarat,23.85,73.0147,exact
S415,Vav,Gambhirpura,Sabarkantha,Gujarat,23.8492,73.0131,exact
S416,Rannmalchoki,Idariyogadh,Sabarkantha,Gujarat,23.8525,73.0006,exact
S417,Vav,Chorivad,Sabarkantha,Gujarat,23.9,73.1258,exact
S418,Ancient Temple,Davad,Sabarkantha,Gujarat,20.888084,70.400865,approximate (name matched in Gujarat)
S419,Ancient stepwell (vav),Limbhoi,Sabarkantha,Gujarat,23.8658,72.9864,exact
S420,Kund,Sabli,Sabarkantha,Gujarat,23.7322,73.0578,exact
S421,Ancient Temple,Davad,Sabarkantha,Gujarat,20.888084,70.400865,approximate (name matched in Gujarat)
S422,Mahadev Temple,Agiya,Sabarkantha,Gujarat,23.432302,73.049357,exact
S423,Shiva Temple,Near Ganchhali (Kajavas),Sabarkantha,Gujarat,23.659965,73.079806,exact
S424,Brahma Vav,Khedbrahma,Sabarkantha,Gujarat,24.0386,73.0481,exact
