image_id,entity_type,entity_id,image_path,image_description
IMG549,structure,ST303,images/structures/ST303_Temple_Near_Talav/img3.jpg,structure image
IMG550,structure,ST304,images/structures/ST304_Tarnetar_Temple/img1.jpg,structure image
IMG551,structure,ST304,images/structures/ST304_Tarnetar_Temple/img2.jpg,structure image
IMG552,structure,ST304,images/structures/ST304_Tarnetar_Temple/img3.jpg,structure image
IMG553,structure,ST305,images/structures/ST305_Munibaba_Temple_(Munim_deval)/img1.jpg,structure image
IMG554,structure,ST305,images/structures/ST305_Munibaba_Temple_(Munim_deval)/img2.jpg,structure image
IMG555,structure,ST305,images/structures/ST305_Munibaba_Temple_(Munim_deval)/img3.jpg,structure image
IMG556,structure,ST306,images/structures/ST306_Panchayatan_Temple/img1.jpg,structure image
IMG557,structure,ST306,images/structures/ST306_Panchayatan_Temple/img2.jpg,structure image
IMG558,structure,ST306,images/structures/ST306_Panchayatan_Temple/img3.jpg,structure image
IMG559,structure,ST307,images/structures/ST307_Caves/img1.jpg,structure image
IMG560,structure,ST307,images/structures/ST307_Caves/img2.jpg,structure image
IMG561,structure,ST307,images/structures/ST307_Caves/img3.jpg,structure image
IMG562,structure,ST308,images/structures/ST308_Jeen_Darwajo/img1.jpg,structure image
IMG563,structure,ST308,images/structures/ST308_Jeen_Darwajo/img2.jpg,structure image
IMG564,structure,ST308,images/structures/ST308_Jeen_Darwajo/img3.jpg,structure image
IMG565,structure,ST309,images/structures/ST309_Dink_Darwajo/img1.jpg,structure image
IMG566,structure,ST309,images/structures/ST309_Dink_Darwajo/img2.jpg,structure image
IMG567,structure,ST309,images/structures/ST309_Dink_Darwajo/img3.jpg,structure image
IMG568,structure,ST310,images/structures/ST310_South_Gates_(Dakhkhani_Darwaja)/img1.jpg,structure image
IMG569,structure,ST310,images/structures/ST310_South_Gates_(Dakhkhani_Darwaja)/img2.jpg,structure image
IMG570,structure,ST310,images/structures/ST310_South_Gates_(Dakhkhani_Darwaja)/img3.jpg,structure image
IMG571,structure,ST311,images/structures/ST311_West_Gates/img1.jpg,structure image
IMG572,structure,ST311,images/structures/ST311_West_Gates/img2.jpg,structure image
IMG573,structure,ST311,images/structures/ST311_West_Gates/img3.jpg,structure image
IMG574,structure,ST312,images/structures/ST312_Madapol_Gates/img1.jpg,structure image
IMG575,structure,ST312,images/structures/ST312_Madapol_Gates/img2.jpg,structure image
IMG576,structure,ST312,images/structures/ST312_Madapol_Gates/img3.jpg,structure image
IMG577,structure,ST313,images/structures/ST313_Rajeshwari_Gates/img1.jpg,structure image
IMG578,structure,ST313,images/structures/ST313_Rajeshwari_Gates/img2.jpg,structure image
IMG579,structure,ST313,images/structures/ST313_Rajeshwari_Gates/img3.jpg,structure image
IMG580,structure,ST314,images/structures/ST314_Sarovar/img1.jpg,structure image
IMG581,structure,ST314,images/structures/ST314_Sarovar/img2.jpg,structure image
IMG582,structure,ST314,images/structures/ST314_Sarovar/img3.jpg,structure image
IMG583,structure,ST315,images/structures/ST315_Jeenand_Kund_(Two)/img1.jpg,structure image
IMG584,structure,ST315,images/structures/ST315_Jeenand_Kund_(Two)/img2.jpg,structure image
IMG585,structure,ST315,images/structures/ST315_Jeenand_Kund_(Two)/img3.jpg,structure image
IMG586,structure,ST316,images/structures/ST316_Remains_of_Ancient_Gates/img1.jpg,structure image
IMG587,structure,ST316,images/structures/ST316_Remains_of_Ancient_Gates/img2.jpg,structure image
IMG588,structure,ST316,images/structures/ST316_Remains_of_Ancient_Gates/img3.jpg,structure image
IMG589,structure,ST317,images/structures/ST317_Matri_Vav/img1.jpg,structure image
IMG590,structure,ST317,images/structures/ST317_Matri_Vav/img2.jpg,structure image
IMG591,structure,ST317,images/structures/ST317_Matri_Vav/img3.jpg,structure image
IMG592,structure,ST318,images/structures/ST318_Chandrisar_Talav/img1.jpg,structure image
IMG593,structure,ST318,images/structures/ST318_Chandrisar_Talav/img2.jpg,structure image
IMG594,structure,ST318,images/structures/ST318_Chandrisar_Talav/img3.jpg,structure image
IMG595,structure,ST319,images/structures/ST319_Ancient_Vav/img1.jpg,structure image
IMG596,structure,ST319,images/structures/ST319_Ancient_Vav/img2.jpg,structure image
IMG597,structure,ST319,images/structures/ST319_Ancient_Vav/img3.jpg,structure image
IMG598,structure,ST320,images/structures/ST320_Gramdevi_Temple/img1.jpg,structure image
IMG599,structure,ST320,images/structures/ST320_Gramdevi_Temple/img2.jpg,structure image
IMG600,structure,ST320,images/structures/ST320_Gramdevi_Temple/img3.jpg,structure image
IMG601,structure,ST321,images/structures/ST321_Gangavo_Kund/img1.jpg,structure image
IMG602,structure,ST321,images/structures/ST321_Gangavo_Kund/img2.jpg,structure image
IMG603,structure,ST321,images/structures/ST321_Gangavo_Kund/img3.jpg,structure image
IMG604,structure,ST322,images/structures/ST322_Manava_Mama_Temple/img1.jpg,structure image
IMG605,structure,ST322,images/structures/ST322_Manava_Mama_Temple/img2.jpg,structure image
IMG606,structure,ST322,images/structures/ST322_Manava_Mama_Temple/img3.jpg,structure image
